<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kourosh.Food.Ind.,20210719,37530.00,39870.00,37530.00,39440.00,297065295960,7532839,12311,D,37980.00,39870.00
Kourosh.Food.Ind.,20210718,37890.00,38500.00,37210.00,37980.00,186754520900,4917821,10072,D,37680.00,37820.00
Kourosh.Food.Ind.,20210717,38400.00,38400.00,37290.00,37680.00,251783454940,6682978,13536,D,38100.00,37410.00
Kourosh.Food.Ind.,20210714,37480.00,38750.00,37380.00,38100.00,233293477970,6123531,19088,D,37860.00,37900.00
Kourosh.Food.Ind.,20210713,38050.00,38450.00,37500.00,37860.00,235470488260,6219092,15332,D,38300.00,37500.00
Kourosh.Food.Ind.,20210712,38200.00,38840.00,37950.00,38300.00,204486323880,5338698,15741,D,38410.00,38060.00
Kourosh.Food.Ind.,20210711,37700.00,38970.00,37700.00,38410.00,148042335130,3854028,13150,D,38080.00,38390.00
Kourosh.Food.Ind.,20210710,39100.00,39100.00,37500.00,38080.00,211841800840,5562406,15208,D,38360.00,38000.00
Kourosh.Food.Ind.,20210707,38150.00,38800.00,37500.00,38360.00,302183502620,7878214,7331,D,36840.00,38500.00
Kourosh.Food.Ind.,20210630,39370.00,41000.00,39000.00,40140.00,582558183370,14513682,20967,D,39350.00,40790.00
Kourosh.Food.Ind.,20210629,39130.00,40060.00,39090.00,39350.00,296401600640,7533080,16314,D,39110.00,39370.00
Kourosh.Food.Ind.,20210628,39600.00,40000.00,38750.00,39110.00,330531500400,8451834,19654,D,40180.00,39110.00
Kourosh.Food.Ind.,20210627,40820.00,41290.00,39600.00,40180.00,365487788670,9095598,13936,D,40400.00,39720.00
Kourosh.Food.Ind.,20210626,41330.00,41330.00,39860.00,40400.00,571994707210,14159998,25227,D,41290.00,39940.00
Kourosh.Food.Ind.,20210623,41500.00,42350.00,40380.00,41290.00,605752881370,14671480,25490,D,40390.00,40780.00
Kourosh.Food.Ind.,20210622,39990.00,40560.00,39500.00,40390.00,908329476740,22490388,21901,D,38630.00,40560.00
Kourosh.Food.Ind.,20210621,37020.00,39160.00,37020.00,38630.00,512212650750,13259200,25767,D,37300.00,39160.00
Kourosh.Food.Ind.,20210620,36700.00,38200.00,36540.00,37300.00,384328985120,10304938,23463,D,37160.00,37100.00
Kourosh.Food.Ind.,20210619,37630.00,38250.00,36510.00,37160.00,319027833200,8584717,22506,D,37910.00,37020.00
Kourosh.Food.Ind.,20210616,37850.00,38400.00,37630.00,37910.00,323369896740,8530855,51223,D,38650.00,37850.00
Kourosh.Food.Ind.,20210615,38000.00,39420.00,37760.00,38650.00,531814717460,13760539,40570,D,37930.00,38050.00
Kourosh.Food.Ind.,20210614,37250.00,38500.00,37250.00,37930.00,481632281300,12697761,48700,D,37630.00,38180.00
Kourosh.Food.Ind.,20210613,38590.00,38590.00,37200.00,37630.00,331620351630,8813266,41066,D,38320.00,37800.00
Kourosh.Food.Ind.,20210612,37390.00,39190.00,37390.00,38320.00,836836285790,21838457,54253,D,37390.00,38100.00
Kourosh.Food.Ind.,20210609,37300.00,38200.00,36660.00,37390.00,648764487990,17352274,109602,D,38260.00,37450.00
Kourosh.Food.Ind.,20210608,38750.00,39560.00,37590.00,38260.00,1839947142750,48084723,304051,D,39560.00,37700.00
Kourosh.Food.Ind.,20210607,40110.00,40110.00,38210.00,39560.00,4567619136680,115450961,582759,D,38200.00,38630.00
Kourosh.Food.Ind.,20210602,38200.00,38200.00,38200.00,38200.00,671369927800,17575129,76432,D,36390.00,38200.00
Kourosh.Food.Ind.,20210601,36390.00,36390.00,36390.00,36390.00,82204609710,2258989,17962,D,34660.00,36390.00
Kourosh.Food.Ind.,20210531,34660.00,34660.00,34660.00,34660.00,62184407160,1794126,11307,D,33010.00,34660.00
Kourosh.Food.Ind.,20210530,33010.00,33010.00,33010.00,33010.00,53074270240,1607824,8768,D,31440.00,33010.00
Kourosh.Food.Ind.,20210529,31440.00,31440.00,31440.00,31440.00,49776971280,1583237,8310,D,29950.00,31440.00
Kourosh.Food.Ind.,20210526,29950.00,29950.00,29950.00,29950.00,5331078406050,177999279,2355996,D,1000.00,29950.00
